Result of the experiment

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.09999999999999998, reg_param = 0.0001

During the 10-th epoch:
Training Accuracy = 0.483556
Validation Accuracy = 0.398633
Testing Accuracy = 0.400166

During the 20-th epoch:
Training Accuracy = 0.642667
Validation Accuracy = 0.562642
Testing Accuracy = 0.498757

During the 30-th epoch:
Training Accuracy = 0.659111
Validation Accuracy = 0.561883
Testing Accuracy = 0.501243

During the 50-th epoch:
Training Accuracy = 0.676444
Validation Accuracy = 0.555809
Testing Accuracy = 0.5029

During the 100-th epoch:
Training Accuracy = 0.705778
Validation Accuracy = 0.570235
Testing Accuracy = 0.506214

During the 200-th epoch:
Training Accuracy = 0.728889
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 300-th epoch:
Training Accuracy = 0.713778
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 500-th epoch:
Training Accuracy = 0.762222
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 700-th epoch:
Training Accuracy = 0.696444
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 1000-th epoch:
Training Accuracy = 0.768889
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.09999999999999998, reg_param = 0.001

During the 10-th epoch:
Training Accuracy = 0.501333
Validation Accuracy = 0.364465
Testing Accuracy = 0.327258

During the 20-th epoch:
Training Accuracy = 0.633778
Validation Accuracy = 0.552012
Testing Accuracy = 0.490472

During the 30-th epoch:
Training Accuracy = 0.665333
Validation Accuracy = 0.56492
Testing Accuracy = 0.498757

During the 50-th epoch:
Training Accuracy = 0.663556
Validation Accuracy = 0.556568
Testing Accuracy = 0.501243

During the 100-th epoch:
Training Accuracy = 0.686667
Validation Accuracy = 0.569476
Testing Accuracy = 0.501243

During the 200-th epoch:
Training Accuracy = 0.727111
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 300-th epoch:
Training Accuracy = 0.748444
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 500-th epoch:
Training Accuracy = 0.768
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 700-th epoch:
Training Accuracy = 0.768444
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 1000-th epoch:
Training Accuracy = 0.768889
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.09999999999999998, reg_param = 0.01

During the 10-th epoch:
Training Accuracy = 0.612
Validation Accuracy = 0.529233
Testing Accuracy = 0.475559

During the 20-th epoch:
Training Accuracy = 0.631111
Validation Accuracy = 0.529992
Testing Accuracy = 0.479702

During the 30-th epoch:
Training Accuracy = 0.661333
Validation Accuracy = 0.559605
Testing Accuracy = 0.501243

During the 50-th epoch:
Training Accuracy = 0.685778
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 100-th epoch:
Training Accuracy = 0.696
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 200-th epoch:
Training Accuracy = 0.715556
Validation Accuracy = 0.570995
Testing Accuracy = 0.507871

During the 300-th epoch:
Training Accuracy = 0.748889
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 500-th epoch:
Training Accuracy = 0.767556
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 700-th epoch:
Training Accuracy = 0.768889
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 1000-th epoch:
Training Accuracy = 0.768889
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.09999999999999998, reg_param = 0.1

During the 10-th epoch:
Training Accuracy = 0.504889
Validation Accuracy = 0.362946
Testing Accuracy = 0.349627

During the 20-th epoch:
Training Accuracy = 0.632889
Validation Accuracy = 0.550494
Testing Accuracy = 0.487987

During the 30-th epoch:
Training Accuracy = 0.661778
Validation Accuracy = 0.563402
Testing Accuracy = 0.503728

During the 50-th epoch:
Training Accuracy = 0.686667
Validation Accuracy = 0.569476
Testing Accuracy = 0.506214

During the 100-th epoch:
Training Accuracy = 0.702222
Validation Accuracy = 0.571754
Testing Accuracy = 0.507042

During the 200-th epoch:
Training Accuracy = 0.742222
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 300-th epoch:
Training Accuracy = 0.752
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 500-th epoch:
Training Accuracy = 0.768
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 700-th epoch:
Training Accuracy = 0.768889
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 1000-th epoch:
Training Accuracy = 0.768889
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.19999999999999996, reg_param = 0.0001

During the 10-th epoch:
Training Accuracy = 0.566667
Validation Accuracy = 0.498861
Testing Accuracy = 0.434134

During the 20-th epoch:
Training Accuracy = 0.618667
Validation Accuracy = 0.497342
Testing Accuracy = 0.451533

During the 30-th epoch:
Training Accuracy = 0.662667
Validation Accuracy = 0.561883
Testing Accuracy = 0.498757

During the 50-th epoch:
Training Accuracy = 0.686222
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 100-th epoch:
Training Accuracy = 0.704444
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 200-th epoch:
Training Accuracy = 0.730667
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 300-th epoch:
Training Accuracy = 0.747555
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 500-th epoch:
Training Accuracy = 0.767556
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 700-th epoch:
Training Accuracy = 0.768444
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 1000-th epoch:
Training Accuracy = 0.768889
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.19999999999999996, reg_param = 0.001

During the 10-th epoch:
Training Accuracy = 0.560889
Validation Accuracy = 0.476841
Testing Accuracy = 0.432477

During the 20-th epoch:
Training Accuracy = 0.638222
Validation Accuracy = 0.566439
Testing Accuracy = 0.503728

During the 30-th epoch:
Training Accuracy = 0.649333
Validation Accuracy = 0.56492
Testing Accuracy = 0.508699

During the 50-th epoch:
Training Accuracy = 0.684
Validation Accuracy = 0.569476
Testing Accuracy = 0.503728

During the 100-th epoch:
Training Accuracy = 0.705778
Validation Accuracy = 0.564161
Testing Accuracy = 0.501243

During the 200-th epoch:
Training Accuracy = 0.741333
Validation Accuracy = 0.571754
Testing Accuracy = 0.507042

During the 300-th epoch:
Training Accuracy = 0.747556
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 500-th epoch:
Training Accuracy = 0.767556
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 700-th epoch:
Training Accuracy = 0.752444
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 1000-th epoch:
Training Accuracy = 0.768889
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.19999999999999996, reg_param = 0.01

During the 10-th epoch:
Training Accuracy = 0.548444
Validation Accuracy = 0.393318
Testing Accuracy = 0.383596

During the 20-th epoch:
Training Accuracy = 0.648
Validation Accuracy = 0.558087
Testing Accuracy = 0.498757

During the 30-th epoch:
Training Accuracy = 0.661778
Validation Accuracy = 0.570235
Testing Accuracy = 0.507042

During the 50-th epoch:
Training Accuracy = 0.68
Validation Accuracy = 0.560364
Testing Accuracy = 0.505385

During the 100-th epoch:
Training Accuracy = 0.708
Validation Accuracy = 0.562642
Testing Accuracy = 0.503728

During the 200-th epoch:
Training Accuracy = 0.738222
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 300-th epoch:
Training Accuracy = 0.738222
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 500-th epoch:
Training Accuracy = 0.765778
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 700-th epoch:
Training Accuracy = 0.768889
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 1000-th epoch:
Training Accuracy = 0.768889
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.19999999999999996, reg_param = 0.1

During the 10-th epoch:
Training Accuracy = 0.571111
Validation Accuracy = 0.485194
Testing Accuracy = 0.438277

During the 20-th epoch:
Training Accuracy = 0.631555
Validation Accuracy = 0.552012
Testing Accuracy = 0.487987

During the 30-th epoch:
Training Accuracy = 0.646222
Validation Accuracy = 0.526955
Testing Accuracy = 0.473074

During the 50-th epoch:
Training Accuracy = 0.679556
Validation Accuracy = 0.558846
Testing Accuracy = 0.499586

During the 100-th epoch:
Training Accuracy = 0.695556
Validation Accuracy = 0.56568
Testing Accuracy = 0.501243

During the 200-th epoch:
Training Accuracy = 0.723556
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 300-th epoch:
Training Accuracy = 0.752444
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 500-th epoch:
Training Accuracy = 0.762222
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 700-th epoch:
Training Accuracy = 0.746667
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 1000-th epoch:
Training Accuracy = 0.768889
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.30000000000000004, reg_param = 0.0001

During the 10-th epoch:
Training Accuracy = 0.591556
Validation Accuracy = 0.463174
Testing Accuracy = 0.405965

During the 20-th epoch:
Training Accuracy = 0.627556
Validation Accuracy = 0.53227
Testing Accuracy = 0.483844

During the 30-th epoch:
Training Accuracy = 0.648
Validation Accuracy = 0.564161
Testing Accuracy = 0.503728

During the 50-th epoch:
Training Accuracy = 0.677333
Validation Accuracy = 0.555809
