Result of the experiment

setting up the experiment with
batch size = 128, hidden nodes = 512, learning rate = 0.001
training epoch = 1000, dropout rate = 0.09999999999999998, reg_param = 0.0001

During the 10-th epoch:
Training Accuracy = 0.595111
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 20-th epoch:
Training Accuracy = 0.613778
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 30-th epoch:
Training Accuracy = 0.645333
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 50-th epoch:
Training Accuracy = 0.654667
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 100-th epoch:
Training Accuracy = 0.664444
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 200-th epoch:
Training Accuracy = 0.697778
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 300-th epoch:
Training Accuracy = 0.709333
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 500-th epoch:
Training Accuracy = 0.737333
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 700-th epoch:
Training Accuracy = 0.763111
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 1000-th epoch:
Training Accuracy = 0.768889
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

setting up the experiment with
batch size = 128, hidden nodes = 512, learning rate = 0.001
training epoch = 1000, dropout rate = 0.09999999999999998, reg_param = 0.001

During the 10-th epoch:
Training Accuracy = 0.603556
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 20-th epoch:
Training Accuracy = 0.628
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 30-th epoch:
Training Accuracy = 0.634667
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 50-th epoch:
Training Accuracy = 0.648889
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 100-th epoch:
Training Accuracy = 0.659111
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 200-th epoch:
Training Accuracy = 0.663111
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 300-th epoch:
Training Accuracy = 0.719111
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 500-th epoch:
Training Accuracy = 0.732
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 700-th epoch:
Training Accuracy = 0.749333
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 1000-th epoch:
Training Accuracy = 0.768889
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

setting up the experiment with
batch size = 128, hidden nodes = 512, learning rate = 0.001
training epoch = 1000, dropout rate = 0.09999999999999998, reg_param = 0.01

During the 10-th epoch:
Training Accuracy = 0.599111
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 20-th epoch:
Training Accuracy = 0.626667
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 30-th epoch:
Training Accuracy = 0.637778
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 50-th epoch:
Training Accuracy = 0.632889
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 100-th epoch:
Training Accuracy = 0.661333
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 200-th epoch:
Training Accuracy = 0.679111
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 300-th epoch:
Training Accuracy = 0.713778
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 500-th epoch:
Training Accuracy = 0.729333
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 700-th epoch:
Training Accuracy = 0.764444
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 1000-th epoch:
Training Accuracy = 0.768889
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

setting up the experiment with
batch size = 128, hidden nodes = 512, learning rate = 0.001
training epoch = 1000, dropout rate = 0.19999999999999996, reg_param = 0.0001

During the 10-th epoch:
Training Accuracy = 0.597778
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 20-th epoch:
Training Accuracy = 0.624
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 30-th epoch:
Training Accuracy = 0.632
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 50-th epoch:
Training Accuracy = 0.636
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 100-th epoch:
Training Accuracy = 0.679556
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 200-th epoch:
Training Accuracy = 0.689333
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 300-th epoch:
Training Accuracy = 0.706222
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 500-th epoch:
Training Accuracy = 0.745333
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 700-th epoch:
Training Accuracy = 0.750222
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 1000-th epoch:
Training Accuracy = 0.768889
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

setting up the experiment with
batch size = 128, hidden nodes = 512, learning rate = 0.001
training epoch = 1000, dropout rate = 0.19999999999999996, reg_param = 0.001

During the 10-th epoch:
Training Accuracy = 0.608
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 20-th epoch:
Training Accuracy = 0.621333
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 30-th epoch:
Training Accuracy = 0.630222
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 50-th epoch:
Training Accuracy = 0.646667
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 100-th epoch:
Training Accuracy = 0.664889
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 200-th epoch:
Training Accuracy = 0.668444
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 300-th epoch:
Training Accuracy = 0.703111
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 500-th epoch:
Training Accuracy = 0.746222
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 700-th epoch:
Training Accuracy = 0.750222
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 1000-th epoch:
Training Accuracy = 0.768889
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

setting up the experiment with
batch size = 128, hidden nodes = 512, learning rate = 0.001
training epoch = 1000, dropout rate = 0.19999999999999996, reg_param = 0.01

During the 10-th epoch:
Training Accuracy = 0.596
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 20-th epoch:
Training Accuracy = 0.599111
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 30-th epoch:
Training Accuracy = 0.610222
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 50-th epoch:
Training Accuracy = 0.629333
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 100-th epoch:
Training Accuracy = 0.666667
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 200-th epoch:
Training Accuracy = 0.682667
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 300-th epoch:
Training Accuracy = 0.715111
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 500-th epoch:
Training Accuracy = 0.742667
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 700-th epoch:
Training Accuracy = 0.765778
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 1000-th epoch:
Training Accuracy = 0.768889
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

setting up the experiment with
batch size = 128, hidden nodes = 512, learning rate = 0.001
training epoch = 1000, dropout rate = 0.30000000000000004, reg_param = 0.0001

During the 10-th epoch:
Training Accuracy = 0.594667
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 20-th epoch:
Training Accuracy = 0.598222
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 30-th epoch:
Training Accuracy = 0.614222
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 50-th epoch:
Training Accuracy = 0.618222
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 100-th epoch:
Training Accuracy = 0.637333
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 200-th epoch:
Training Accuracy = 0.695111
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 300-th epoch:
Training Accuracy = 0.712444
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 500-th epoch:
Training Accuracy = 0.749333
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 700-th epoch:
Training Accuracy = 0.768
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 1000-th epoch:
Training Accuracy = 0.768889
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

setting up the experiment with
batch size = 128, hidden nodes = 512, learning rate = 0.001
training epoch = 1000, dropout rate = 0.30000000000000004, reg_param = 0.001

During the 10-th epoch:
Training Accuracy = 0.597333
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 20-th epoch:
Training Accuracy = 0.62
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 30-th epoch:
Training Accuracy = 0.626667
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 50-th epoch:
Training Accuracy = 0.648444
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 100-th epoch:
Training Accuracy = 0.627111
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 200-th epoch:
Training Accuracy = 0.694222
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 300-th epoch:
Training Accuracy = 0.684
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 500-th epoch:
Training Accuracy = 0.737333
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 700-th epoch:
Training Accuracy = 0.750667
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 1000-th epoch:
Training Accuracy = 0.768889
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

setting up the experiment with
batch size = 128, hidden nodes = 512, learning rate = 0.001
training epoch = 1000, dropout rate = 0.30000000000000004, reg_param = 0.01

During the 10-th epoch:
Training Accuracy = 0.605333
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 20-th epoch:
Training Accuracy = 0.622222
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 30-th epoch:
Training Accuracy = 0.631556
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 50-th epoch:
Training Accuracy = 0.648
Validation Accuracy = 0.571754
