Result of the experiment

setting up the experiment with
batch size = 128, hidden nodes = 256, learning rate = 0.001
training epoch = 1000, dropout rate = 0.09999999999999998, reg_param = 0.0001

During the 10-th epoch:
Training Accuracy = 0.541778
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 20-th epoch:
Training Accuracy = 0.602222
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 30-th epoch:
Training Accuracy = 0.619556
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 50-th epoch:
Training Accuracy = 0.634667
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 100-th epoch:
Training Accuracy = 0.650222
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 200-th epoch:
Training Accuracy = 0.669333
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 300-th epoch:
Training Accuracy = 0.683556
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 500-th epoch:
Training Accuracy = 0.716
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 700-th epoch:
Training Accuracy = 0.743556
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 1000-th epoch:
Training Accuracy = 0.766667
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

setting up the experiment with
batch size = 128, hidden nodes = 256, learning rate = 0.001
training epoch = 1000, dropout rate = 0.09999999999999998, reg_param = 0.001

During the 10-th epoch:
Training Accuracy = 0.573333
Validation Accuracy = 0.572513
Testing Accuracy = 0.507871

During the 20-th epoch:
Training Accuracy = 0.596889
Validation Accuracy = 0.570235
Testing Accuracy = 0.507042

During the 30-th epoch:
Training Accuracy = 0.617778
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 50-th epoch:
Training Accuracy = 0.635111
Validation Accuracy = 0.570995
Testing Accuracy = 0.507871

During the 100-th epoch:
Training Accuracy = 0.659111
Validation Accuracy = 0.570995
Testing Accuracy = 0.507871

During the 200-th epoch:
Training Accuracy = 0.676444
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 300-th epoch:
Training Accuracy = 0.689778
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 500-th epoch:
Training Accuracy = 0.716444
Validation Accuracy = 0.571754
Testing Accuracy = 0.507042

During the 700-th epoch:
Training Accuracy = 0.730222
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 1000-th epoch:
Training Accuracy = 0.757333
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

setting up the experiment with
batch size = 128, hidden nodes = 256, learning rate = 0.001
training epoch = 1000, dropout rate = 0.09999999999999998, reg_param = 0.01

During the 10-th epoch:
Training Accuracy = 0.559111
Validation Accuracy = 0.571754
Testing Accuracy = 0.501243

During the 20-th epoch:
Training Accuracy = 0.596889
Validation Accuracy = 0.569476
Testing Accuracy = 0.507871

During the 30-th epoch:
Training Accuracy = 0.617778
Validation Accuracy = 0.570995
Testing Accuracy = 0.507042

During the 50-th epoch:
Training Accuracy = 0.630667
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 100-th epoch:
Training Accuracy = 0.651111
Validation Accuracy = 0.570235
Testing Accuracy = 0.507871

During the 200-th epoch:
Training Accuracy = 0.666222
Validation Accuracy = 0.571754
Testing Accuracy = 0.507042

During the 300-th epoch:
Training Accuracy = 0.661778
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 500-th epoch:
Training Accuracy = 0.719111
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 700-th epoch:
Training Accuracy = 0.728
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 1000-th epoch:
Training Accuracy = 0.755111
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

setting up the experiment with
batch size = 128, hidden nodes = 256, learning rate = 0.001
training epoch = 1000, dropout rate = 0.09999999999999998, reg_param = 0.1

During the 10-th epoch:
Training Accuracy = 0.578222
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 20-th epoch:
Training Accuracy = 0.610667
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 30-th epoch:
Training Accuracy = 0.617333
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 50-th epoch:
Training Accuracy = 0.635111
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 100-th epoch:
Training Accuracy = 0.660889
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 200-th epoch:
Training Accuracy = 0.682222
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 300-th epoch:
Training Accuracy = 0.672444
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 500-th epoch:
Training Accuracy = 0.735556
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 700-th epoch:
Training Accuracy = 0.748444
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 1000-th epoch:
Training Accuracy = 0.754222
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

setting up the experiment with
batch size = 128, hidden nodes = 256, learning rate = 0.001
training epoch = 1000, dropout rate = 0.19999999999999996, reg_param = 0.0001

During the 10-th epoch:
Training Accuracy = 0.536
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 20-th epoch:
Training Accuracy = 0.589333
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 30-th epoch:
Training Accuracy = 0.592889
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 50-th epoch:
Training Accuracy = 0.617778
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 100-th epoch:
Training Accuracy = 0.628889
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 200-th epoch:
Training Accuracy = 0.681778
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 300-th epoch:
Training Accuracy = 0.697778
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 500-th epoch:
Training Accuracy = 0.711556
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 700-th epoch:
Training Accuracy = 0.737778
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 1000-th epoch:
Training Accuracy = 0.768889
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

setting up the experiment with
batch size = 128, hidden nodes = 256, learning rate = 0.001
training epoch = 1000, dropout rate = 0.19999999999999996, reg_param = 0.001

During the 10-th epoch:
Training Accuracy = 0.592
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 20-th epoch:
Training Accuracy = 0.608444
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 30-th epoch:
Training Accuracy = 0.621778
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 50-th epoch:
Training Accuracy = 0.641333
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 100-th epoch:
Training Accuracy = 0.657778
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 200-th epoch:
Training Accuracy = 0.685778
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 300-th epoch:
Training Accuracy = 0.701333
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 500-th epoch:
Training Accuracy = 0.685778
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 700-th epoch:
Training Accuracy = 0.748889
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 1000-th epoch:
Training Accuracy = 0.764889
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

setting up the experiment with
batch size = 128, hidden nodes = 256, learning rate = 0.001
training epoch = 1000, dropout rate = 0.19999999999999996, reg_param = 0.01

During the 10-th epoch:
Training Accuracy = 0.556444
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 20-th epoch:
Training Accuracy = 0.615111
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 30-th epoch:
Training Accuracy = 0.621333
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 50-th epoch:
Training Accuracy = 0.642222
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 100-th epoch:
Training Accuracy = 0.665333
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 200-th epoch:
Training Accuracy = 0.686222
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 300-th epoch:
Training Accuracy = 0.670667
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 500-th epoch:
Training Accuracy = 0.718667
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 700-th epoch:
Training Accuracy = 0.732
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 1000-th epoch:
Training Accuracy = 0.762667
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

setting up the experiment with
batch size = 128, hidden nodes = 256, learning rate = 0.001
training epoch = 1000, dropout rate = 0.19999999999999996, reg_param = 0.1

During the 10-th epoch:
Training Accuracy = 0.555556
Validation Accuracy = 0.570235
Testing Accuracy = 0.503728

During the 20-th epoch:
Training Accuracy = 0.594667
Validation Accuracy = 0.569476
Testing Accuracy = 0.507042

During the 30-th epoch:
Training Accuracy = 0.616444
Validation Accuracy = 0.570995
Testing Accuracy = 0.507871

During the 50-th epoch:
Training Accuracy = 0.634667
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 100-th epoch:
Training Accuracy = 0.645333
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 200-th epoch:
Training Accuracy = 0.672444
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 300-th epoch:
Training Accuracy = 0.692444
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 500-th epoch:
Training Accuracy = 0.726667
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 700-th epoch:
Training Accuracy = 0.733778
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

During the 1000-th epoch:
Training Accuracy = 0.766222
Validation Accuracy = 0.571754
Testing Accuracy = 0.507871

setting up the experiment with
batch size = 128, hidden nodes = 256, learning rate = 0.001
training epoch = 1000, dropout rate = 0.30000000000000004, reg_param = 0.0001

During the 10-th epoch:
Training Accuracy = 0.568444
Validation Accuracy = 0.570235
Testing Accuracy = 0.506214

During the 20-th epoch:
Training Accuracy = 0.593333
Validation Accuracy = 0.570995
Testing Accuracy = 0.507042

During the 30-th epoch:
Training Accuracy = 0.622667
Validation Accuracy = 0.571754
Testing Accuracy = 0.507042

During the 50-th epoch:
Training Accuracy = 0.636889
Validation Accuracy = 0.571754
